Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 00:00:00,יום ג,יום חול,45,175,14.0,7,21573,7_KATZIR--MENDES2EMEKHAELA-L,2024-02-13 00:00:00,1694271505525.0,185.0,44.8,44.8,14.866071428571429,14.866071428571429
2024-02-13 00:00:00,יום ג,יום חול,21,234,40.11428452,8,22471,8_BENGURION--SHLOMO2MENDES-T,2024-02-13 00:00:00,1694269356171.0,238.0,15.6,15.0,54.92307692307693,57.120000000000005
2024-02-13 00:00:00,יום ג,יום חול,63,371,21.20000076,9,23369,9_MENDES--BENGURION2KATZIR-L,2024-02-13 00:00:00,1694270076033.0,373.0,62.66666666666666,62.66666666666666,21.427659574468084,21.427659574468084
2024-02-13 00:15:00,יום ג,יום חול,67,371,19.93432808,9,23370,9_MENDES--BENGURION2KATZIR-L,2024-02-13 00:15:00,1694270076033.0,373.0,62.86666666666667,62.86666666666667,21.35949098621421,21.35949098621421
2024-02-13 00:00:00,יום ג,יום חול,67,252,13.54029846,10,919,10_KATZIR--HOSPITAL2EMEKHAELA-T,2024-02-13 00:00:00,1694271601384.0,257.0,63.06666666666667,63.06666666666667,14.670190274841437,14.670190274841437
2024-02-13 00:00:00,יום ג,יום חול,81,628,27.91111183,11,1817,11_EMEKHAELA--GABRIELS2KATZIR-R,2024-02-13 00:00:00,1694271159667.0,622.0,92.0,92.0,24.33913043478261,24.33913043478261
2024-02-13 00:00:00,יום ג,יום חול,33,409,44.61818314,12,2715,12_BENGURION--HANASI2MENDES-T,2024-02-13 00:00:00,1694269703496.0,405.0,28.266666666666666,28.866666666666667,51.58018867924528,50.5080831408776
2024-02-13 00:15:00,יום ג,יום חול,66,356,19.41818237,2,17084,2_MENDES--BENGURION2KATZIR-R,2024-02-13 00:15:00,1694270107281.0,360.0,71.86666666666666,71.86666666666666,18.033395176252323,18.033395176252323
2024-02-13 00:15:00,יום ג,יום חול,69,294,15.3391304,4,18880,4_GABRIELA--HOSPITAL2SHIBA-L,2024-02-13 00:15:00,1694271931703.0,268.0,64.4,64.4,14.981366459627326,14.981366459627326
2024-02-13 00:15:00,יום ג,יום חול,66,404,22.0363636,5,19778,5_MENDES--BENGURION2KATZIR-T,2024-02-13 00:15:00,1694270789096.0,412.0,63.8,63.8,23.24764890282132,23.24764890282132
2024-02-13 00:15:00,יום ג,יום חול,45,175,14.0,7,21574,7_KATZIR--MENDES2EMEKHAELA-L,2024-02-13 00:15:00,1694271505525.0,185.0,46.53333333333333,46.46666666666667,14.312320916905446,14.332855093256814
2024-02-13 00:15:00,יום ג,יום חול,22,234,38.29090881,8,22472,8_BENGURION--SHLOMO2MENDES-T,2024-02-13 00:15:00,1694269356171.0,238.0,15.866666666666667,15.0,54.0,57.120000000000005
2024-02-13 00:15:00,יום ג,יום חול,68,252,13.34117603,10,920,10_KATZIR--HOSPITAL2EMEKHAELA-T,2024-02-13 00:15:00,1694271601384.0,257.0,60.6,60.6,15.267326732673268,15.267326732673268
2024-02-13 00:15:00,יום ג,יום חול,83,628,27.238554,11,1818,11_EMEKHAELA--GABRIELS2KATZIR-R,2024-02-13 00:15:00,1694271159667.0,622.0,90.66666666666669,90.66666666666669,24.697058823529414,24.697058823529414
